doc_id,item,category,amount,price,discount
SRIOAVL1XR,Стиральный порошок,бытовая химия,2,1095.49,0.00
SRIOAVL1XR,Стиральный порошок,бытовая химия,5,948.72,0.00
ZFTZAO4OD6,Средство для мытья посуды,бытовая химия,4,2406.84,0.00
ZFTZAO4OD6,Чистящее средство для ванной,бытовая химия,1,631.09,0.00
ZSA8WD6WTU,Сковорода,кухонная утварь,3,811.79,0.00
ZSA8WD6WTU,Полотенце махровое,текстиль,1,890.52,0.00
P84QV0J9DX,Кастрюля,кухонная утварь,2,858.34,459.27
P84QV0J9DX,Средство для мытья посуды,бытовая химия,4,1409.31,0.00
P84QV0J9DX,Полотенце махровое,текстиль,5,2035.01,315.13
VOR7FJVKWV,Универсальный очиститель,бытовая химия,4,1376.54,1039.40
VOR7FJVKWV,Стиральный порошок,бытовая химия,2,1204.39,0.00
SQ6YDR4JDK,Разделочная доска,кухонная утварь,3,917.40,0.00
RRHWX71GY3,Комплект постельного белья,текстиль,1,177.10,0.00
RRHWX71GY3,Кастрюля,кухонная утварь,2,2886.18,0.00
QUOU4AU1KU,Комплект постельного белья,текстиль,3,361.60,0.00
B6LF46DWFG,Контейнер для хранения,товары для дома,3,1168.52,0.00
B6LF46DWFG,Средство для мытья посуды,бытовая химия,1,1244.49,0.00
B6LF46DWFG,Контейнер для хранения,товары для дома,1,1422.88,236.20
B6LF46DWFG,Контейнер для хранения,товары для дома,3,1001.78,0.00
B6LF46DWFG,Полотенце махровое,текстиль,4,1281.44,0.00
ARG6TIH6Y7,Гель для стирки,бытовая химия,5,2629.59,0.00
ARG6TIH6Y7,Скатерть,текстиль,2,1599.37,0.00
