doc_id,item,category,amount,price,discount
PERI9U7EP1,Вешалки для одежды,товары для дома,3,1826.22,1413.06
OYEGUZR7HB,Разделочная доска,кухонная утварь,3,138.82,0.00
OYEGUZR7HB,Ведро,товары для дома,4,2694.50,1415.58
OYEGUZR7HB,Скатерть,текстиль,4,763.29,0.00
OYEGUZR7HB,Полотенце махровое,текстиль,3,1508.82,0.00
A5AGPW3YCX,Ведро,товары для дома,4,2789.01,0.00
A5AGPW3YCX,Гель для стирки,бытовая химия,1,2428.85,53.14
A5AGPW3YCX,Ведро,товары для дома,2,1951.98,0.00
RYENPN1IQ3,Полотенце махровое,текстиль,3,2321.61,0.00
RYENPN1IQ3,Контейнер для хранения,товары для дома,3,1391.81,248.50
RYENPN1IQ3,Набор столовых приборов,кухонная утварь,3,1297.57,746.17
OM79FBVR92,Комплект постельного белья,текстиль,5,2100.44,0.00
OM79FBVR92,Вешалки для одежды,товары для дома,1,1917.35,0.00
OM79FBVR92,Разделочная доска,кухонная утварь,1,2728.29,0.00
V0E1Z7MINX,Гель для стирки,бытовая химия,1,900.30,0.00
V0E1Z7MINX,Разделочная доска,кухонная утварь,1,2156.68,11.64
37DAYTBMYB,Корзина для белья,товары для дома,2,2390.55,1417.11
37DAYTBMYB,Нож кухонный,кухонная утварь,3,2854.22,400.22
7MD3G7Z7XS,Комплект постельного белья,текстиль,4,254.29,168.86
7MD3G7Z7XS,Кастрюля,кухонная утварь,4,1462.58,212.05
7MD3G7Z7XS,Разделочная доска,кухонная утварь,3,1707.03,0.00
LYB3299IE7,Нож кухонный,кухонная утварь,1,2521.10,0.00
LYB3299IE7,Гель для стирки,бытовая химия,4,97.73,0.00
LYB3299IE7,Нож кухонный,кухонная утварь,5,1866.13,0.00
SGSUJVSZLR,Ведро,товары для дома,1,2541.92,0.00
SGSUJVSZLR,Плед флисовый,текстиль,4,1511.02,0.00
HUBH065QOU,Кастрюля,кухонная утварь,1,1239.29,49.10
HUBH065QOU,Универсальный очиститель,бытовая химия,4,1518.99,0.00
HUBH065QOU,Ведро,товары для дома,5,247.00,0.00
TVS9TMHIA2,Вешалки для одежды,товары для дома,5,2179.66,0.00
TVS9TMHIA2,Нож кухонный,кухонная утварь,1,1364.34,0.00
TVS9TMHIA2,Кастрюля,кухонная утварь,2,2483.55,0.00
TVS9TMHIA2,Нож кухонный,кухонная утварь,3,1937.73,0.00
TVS9TMHIA2,Контейнер для хранения,товары для дома,4,2506.29,0.00
